Date,Open,High,Low,Close,Adj Close,Volume
4/4/2011,115.010002,122,115,115.290001,105.614243,86765
4/11/2011,116,117,114.199997,116.150002,106.402061,55515
4/18/2011,115,117.449997,114.410004,116.010002,106.273804,51545
4/25/2011,115.220001,119.800003,115,117.010002,107.189911,15040
5/2/2011,115.610001,118.989998,115.010002,117,107.18074,411565
5/9/2011,118,121,116.660004,118.139999,108.225044,6050
5/16/2011,122,123.010002,118.010002,122.709999,112.411514,23695
5/23/2011,120.010002,124.010002,120,123.379997,113.025276,11820
5/30/2011,121.470001,129,121.470001,126.949997,116.295654,27185
6/6/2011,116,129.539993,116,127.010002,116.350639,19070
6/13/2011,126.599998,128.949997,125,127.050003,116.387276,4640
6/20/2011,127.989998,129.600006,125,126,115.425407,44785
6/27/2011,126.400002,128.399994,119,125.709999,115.159729,58005
7/4/2011,126,129.949997,125.599998,127,116.341469,9110
7/11/2011,127.400002,131.399994,126,129.350006,118.494255,311775
7/18/2011,129.889999,135,129,131,120.005775,42330
7/25/2011,134.789993,137.399994,130.699997,134.229996,122.964699,82825
8/1/2011,140,159.399994,137.600006,142.690002,131.498978,137455
8/8/2011,143,155.600006,137.279999,148.910004,137.231171,221275
8/15/2011,148.910004,152.179993,142.600006,147.309998,135.756638,40215
8/22/2011,146,150.009995,145.210007,146.470001,134.982498,42645
8/29/2011,145.009995,154.600006,145.009995,153.399994,141.369034,18260
9/5/2011,155,157.800003,144.990005,151.539993,139.654861,132430
9/12/2011,148.059998,159.800003,148.050003,154.210007,142.115494,134530
9/19/2011,156.789993,156.789993,144,150.059998,138.29097,90345
9/26/2011,150,155,150,152,140.078796,85615
10/3/2011,151.210007,156.990005,150.199997,155.910004,143.68219,85185
10/10/2011,155.600006,160.899994,152.020004,158.679993,146.234879,162295
10/17/2011,155.639999,159.979996,155,158.059998,145.663528,79355
10/24/2011,158,165,157.020004,164.570007,151.662964,122420
10/31/2011,164.649994,170,159.009995,163.630005,150.796692,118180
11/7/2011,163.630005,166.600006,162.020004,165.360001,152.390976,46555
11/14/2011,167.990005,167.990005,147.619995,150.800003,138.972946,137850
11/21/2011,150.800003,152.779999,136.050003,143.979996,132.687775,243065
11/28/2011,145.210007,152.300003,144,150.850006,139.955154,85375
12/5/2011,152.559998,156.800003,149.050003,154.270004,143.128174,86930
12/12/2011,159.600006,159.600006,148.300003,150.460007,139.593353,107025
12/19/2011,149,153.800003,145.009995,151.710007,140.753052,32635
12/26/2011,154.399994,154.399994,149.020004,152.779999,141.745804,7210
1/2/2012,154,157,150.279999,152.600006,141.578766,71985
1/9/2012,153.800003,159.729996,152.610001,157.929993,146.523819,50610
1/16/2012,154.820007,172,153.139999,163.979996,152.136871,62160
1/23/2012,165,168,152.710007,158.330002,146.894928,40255
